                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0076,                 1.0444,                 1.2592,                0.73399,                0.61231,                0.65015,                0.25191,                 2.0767,                 1.0603,                 1.2449,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.9911,                 1.0387,                 1.2507,                0.76223,                0.56224,                0.58407,                0.21588,                 2.1617,                 1.0746,                 1.2795,              0.0006536,              0.0006536,              0.0006536
                     37,                  2.031,                 1.0691,                  1.262,                0.68676,                0.58769,                0.60172,                0.23911,                  2.061,                 1.0821,                 1.2489,               0.000614,               0.000614,               0.000614
                     38,                 1.9828,                 1.0233,                 1.2436,                0.73896,                0.61538,                 0.6296,                0.24487,                 2.0604,                 1.0224,                 1.2381,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.9756,                0.99538,                 1.2358,                0.71812,                0.54089,                0.56001,                0.20863,                 2.1509,                  1.113,                 1.2908,              0.0005348,              0.0005348,              0.0005348
                     40,                  2.004,                 1.0252,                 1.2232,                0.72519,                0.59692,                0.62247,                0.24183,                 2.0701,                 1.0381,                 1.2501,              0.0004952,              0.0004952,              0.0004952
                     41,                  1.956,                 1.0228,                 1.2741,                0.73082,                0.58769,                 0.6108,                0.22055,                 2.1342,                 1.0711,                 1.2748,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.9175,                 1.0123,                 1.2815,                 0.7494,                   0.56,                0.55166,                0.20185,                 2.1941,                 1.0932,                 1.3027,               0.000416,               0.000416,               0.000416
                     43,                 1.9457,                 1.0047,                 1.2699,                0.73085,                0.60993,                0.63511,                0.25347,                 2.0491,                 1.0484,                 1.2426,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.9227,                0.99482,                 1.2687,                0.77366,                    0.6,                 0.6498,                0.25405,                 2.0972,                 1.0224,                 1.2535,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.9094,                0.97779,                 1.2396,                0.72821,                0.59385,                0.61541,                0.23034,                  2.146,                 1.0548,                 1.2712,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.9016,                0.98218,                 1.2679,                0.71434,                0.55077,                0.56138,                0.20636,                 2.1835,                 1.1012,                 1.2937,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.9171,                0.97796,                 1.2607,                0.73982,                0.56308,                0.61257,                0.22821,                  2.149,                 1.0738,                 1.2851,               0.000218,               0.000218,               0.000218
                     48,                 1.8983,                0.96553,                 1.2523,                0.74544,                0.58154,                0.62439,                0.24749,                 2.1034,                 1.0589,                 1.2572,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.8717,                0.94464,                 1.2286,                0.74652,                0.60923,                 0.6299,                0.24646,                 2.1015,                 1.0455,                 1.2627,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.8661,                0.95485,                 1.2325,                0.75022,                0.60923,                0.61429,                0.23091,                 2.1376,                 1.0655,                 1.2729,               9.92e-05,               9.92e-05,               9.92e-05
